source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category,provenance_type
"BATCH-222","0cb3b4485168711d","0cb3b4485168711d74b764049116b4b532c06abb3d2719f3efc213c7cb739c29","G2A1P3-SK-0025","g2/a1/sk|a1-einmal|a1.card.a1-einmal.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-einmal","a1.card.a1-einmal.study.translation","vienreiz • reiz","einmal","Raz • Raz","Raz • Raz","Raz • Raz","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","raz • jedenkrát","Pre nemecké „einmal“ sú prirodzené slovenské ekvivalenty „raz“ a „jedenkrát“; súčasné „Raz“ je navyše nesprávne zopakované.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-223","ebeb382a16749069","ebeb382a167490699f37588e783a4088a0e7bb5c15e9000c6fd2076974ed92cb","G2A1P3-SK-0026","g2/a1/sk|a1-eis|a1.card.a1-eis.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-eis","a1.card.a1-eis.native","ledus • saldējums","Eis","Zmrzlina • Zmrzlina","Zmrzlina • Zmrzlina","Zmrzlina • Zmrzlina","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","ľad • zmrzlina","Nemecké „Eis“ znamená podľa kontextu slovenské „ľad“ alebo „zmrzlina“, nie dvakrát „Zmrzlina“.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-223","de564eb1bbdbf430","de564eb1bbdbf4308a0672680ec3cca2ef1601a1d63a7ca7107ee96d364c4419","G2A1P3-SK-0027","g2/a1/sk|a1-eis|a1.card.a1-eis.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-eis","a1.card.a1-eis.study.translation","ledus • saldējums","Eis","Zmrzlina • Zmrzlina","Zmrzlina • Zmrzlina","Zmrzlina • Zmrzlina","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","ľad • zmrzlina","Pri nemeckom slove „Eis“ treba uviesť oba významy: „ľad“ a „zmrzlina“; súčasný preklad opakuje iba druhý význam.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-223","9325a06d4c9f8046","9325a06d4c9f804661c0b4a8fefd0eab099da9663a32717def1a522df920d0b0","G2A1P3-SK-0028","g2/a1/sk|a1-erst|a1.card.a1-erst.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-erst","a1.card.a1-erst.native","tikai","erst","Prvý • Len","Prvý • Len","Prvý • Len","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","najprv • iba","Nemecké „erst“ sa v uvedených významoch prekladá ako „najprv“ alebo „iba“, nie ako prídavné meno „Prvý“ a skrátené „Len“.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-223","d439fda6ae4e065d","d439fda6ae4e065da178542ce4d157b7272f5d2c79f311ca719fad0078dd6b76","G2A1P3-SK-0029","g2/a1/sk|a1-erst|a1.card.a1-erst.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-erst","a1.card.a1-erst.study.comparison[0].meaning","vispirms • tikai","erst","Prvý • Len","Prvý • Len","Prvý • Len","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","najprv • iba","Významy nemeckého „erst“ sú slovenské príslovky „najprv“ a „iba“; „Prvý“ je nesprávny slovný druh a „Len“ nie je vhodne zjednotené s druhým významom.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-223","dfdae960e8e0263b","dfdae960e8e0263b85390013c8609fbbd6e2257e722169630a47d18de24b88ae","G2A1P3-SK-0031","g2/a1/sk|a1-erst|a1.card.a1-erst.study.important[1]|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-erst","a1.card.a1-erst.study.important[1]","erst bieži nozīmē: tikai.","erst","Prvý často hovorí o čase, postupnosti alebo dosiahnutí bodu • Nur obmedzuje množstvo.","Prvý často hovorí o čase, postupnosti alebo dosiahnutí bodu • Nur obmedzuje množstvo.","Prvý často hovorí o čase, postupnosti alebo dosiahnutí bodu • Nur obmedzuje množstvo.","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","„Erst“ často označuje čas, postupnosť alebo dosiahnutie určitého bodu • „Iba“ obmedzuje množstvo.","Pri nemeckom „erst“ treba zachovať vysvetlenie jeho časového a postupového významu; druhá časť má preložiť „Nur“ ako slovenské „iba“, nie ponechať nemecký text.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-222","364551bbf6e2c57b","364551bbf6e2c57b19424525277d5994edb66c4aad22821824c6bf05e1ba1f08","G2A1P3-SK-0032","g2/a1/sk|a1-erst|a1.card.a1-erst.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-erst","a1.card.a1-erst.study.translation","tikai","erst","Prvý • Len","Prvý • Len","Prvý • Len","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","najprv • iba","Nemecké „erst“ má v tomto učebnom poli významy „najprv“ a „iba“, nie „Prvý“ a „Len“.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-223","f44b6f254e8977a3","f44b6f254e8977a37e12c45e75c5f1f054599631ff034a974779b47beca470e0","G2A1P3-SK-0033","g2/a1/sk|a1-es|a1.card.a1-es.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-es","a1.card.a1-es.native","tas","es","Do • Do • Neosobná forma","Do • Do • Neosobná forma","Do • Do • Neosobná forma","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","to • to • bezosobná forma","Nemecké „es“ sa v slovenčine prekladá ako „to“ alebo označuje bezosobnú formu; „Do“ je nesprávny slovenský tvar.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-222","0a1f01ce0b83ea1c","0a1f01ce0b83ea1cba5a6a1d3cababb05c85c2106ca1c033cb08fd9d5e99ecd7","G2A1P3-SK-0034","g2/a1/sk|a1-es|a1.card.a1-es.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-es","a1.card.a1-es.study.comparison[0].meaning","tas • bezpersoniska forma","es","to • bezosôbna forma","to • bezosôbna forma","to • bezosôbna forma","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","to • bezosobná forma","Pre nemecké „es“ sú správne slovenské výrazy „to“ a „bezosobná forma“; súčasné „bezosôbna“ obsahuje pravopisnú chybu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-223","dc176c9d77915ce9","dc176c9d77915ce9fa3b2dde088dfd7325411c0d80ffe35bf26b3d41bd8fbac8","G2A1P3-SK-0035","g2/a1/sk|a1-es|a1.card.a1-es.study.important[1]|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-es","a1.card.a1-es.study.important[1]","Vācu es nav latviešu “es”.","es","Lotyšské „ja“ je v nemčine ich • Nemecké es často znamená toto/tie alebo sa neprekladá.","Lotyšské „ja“ je v nemčine ich • Nemecké es často znamená toto/tie alebo sa neprekladá.","Lotyšské „ja“ je v nemčine ich • Nemecké es často znamená toto/tie alebo sa neprekladá.","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","Nemecké „es“ nie je lotyšské „es“ • Nemecké „es“ často znamená „to“ alebo sa neprekladá.","Pri nemeckom „es“ treba opraviť zámená aj jazyky: nejde o lotyšské „ja“ ani o nemecké „ich“, ale o rozdiel medzi nemeckým a lotyšským „es“.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","INDIVIDUAL_LINGUISTIC"
