source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category,provenance_type
"BATCH-165","f3dc474e960e8b18","f3dc474e960e8b18956316e387f78646e870f1d62470b3a378c32adc9bebe5f3","DISC-G2-A1-IS-L0001","g2/a1/is|leise|idx:368|lv, study|MISTRANSLATION|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","leise|idx:368","lv, study","kluss","leise","","{""lv"":""Våkn opp"",""study.translation"":""Våkn opp"",""study.explanation"":""[\""Põhiidee: Vaikne või kjesne helitugevusega.\"",\""Leise gejättä säää: vääki helitugevus.\"",\""Sagelie sägeltab: heli/häalt/musikat.\"",\""Leise speltab väikest heliteugevust või vaikset vælt/heli.\""]"",""study.examples"":""[{\""de\"":\""Bitte sei leise.\"",\""lv\"":\""Palun, ole vaikne.\""},{\""de\"":\""Bitte sei leise.\"",\""lv\"":\""Palun, ole vaikne.\""},{\""de\"":\""Die Musik ist leise.\"",\""lv\"":\""Muusika på vaikne.\""},{\""de\"":\""Sprich bitte leise.\"",\""lv\"":\""Palun, snakk stille.\""}]"",""study.tip"":""[\""leise = þögul\"",\""Notaðu leise þegar samhengið passar við þessa merkingu.\""]"",""study.important"":""[\""leise = þögul skalanir.\"",\""leise = skalahæð.\"",\""Þögul eða með litilli skalanir.\""]""}","{""lv"":""Våkn opp"",""study.translation"":""Våkn opp"",""study.explanation"":""[\""Põhiidee: Vaikne või kjesne helitugevusega.\"",\""Leise gejättä säää: vääki helitugevus.\"",\""Sagelie sägeltab: heli/häalt/musikat.\"",\""Leise speltab väikest heliteugevust või vaikset vælt/heli.\""]"",""study.examples"":""[{\""de\"":\""Bitte sei leise.\"",\""lv\"":\""Palun, ole vaikne.\""},{\""de\"":\""Bitte sei leise.\"",\""lv\"":\""Palun, ole vaikne.\""},{\""de\"":\""Die Musik ist leise.\"",\""lv\"":\""Muusika på vaikne.\""},{\""de\"":\""Sprich bitte leise.\"",\""lv\"":\""Palun, snakk stille.\""}]"",""study.tip"":""[\""leise = þögul\"",\""Notaðu leise þegar samhengið passar við þessa merkingu.\""]"",""study.important"":""[\""leise = þögul skalanir.\"",\""leise = skalahæð.\"",\""Þögul eða með litilli skalanir.\""]""}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","DECIDED","LABOT","{""lv"":""þögul • hljóðlát"",""study.translation"":""þögul • hljóðlát"",""study.explanation"":[""Meginhugsun: leise lýsir lágri hljóðstyrk eða rólegri rödd."",""Leise þýðir oft þögult eða með litlum hljóði."",""Oft notað um rödd, hljóð eða tónlist."",""Leise lýsir lítilli hljóðstyrk eða rólegu tali.""],""study.examples[0].lv"":""Vinsamlegast verið þögul."",""study.examples[1].lv"":""Vinsamlegast verið þögul."",""study.examples[2].lv"":""Tónlistin er hljóðlát."",""study.examples[3].lv"":""Talaðu hljóðlega, takk."",""study.tip[0]"":""leise = þögul"",""study.tip[1]"":""Notaðu leise þegar samhengið passar við þessa merkingu."",""study.important[0]"":""leise = þögul rödd/hljóð."",""study.important[1]"":""leise = hljóðstyrkur."",""study.important[2]"":""Þögult eða með litlum hljóði.""}","IS leise composite: NO Våkn opp/ET→þögul•hljóðlát throughout lv/study for kluss quiet. DE untouched.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","INDIVIDUAL_LINGUISTIC"
"BATCH-098","69fa5095b66bcf8f","69fa5095b66bcf8f025781d28f880dd64999cb04b7349419d608896bfbbdc7e1","DISC-G2-A1-IS-L0005","g2/a1/is|lernen|idx:4|lv|WRONG_LANGUAGE|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","lernen|idx:4","lv","mācīties","lernen","","Õppima","Õppima","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""læra""}","IS lernen lv: ET Õppima→læra for mācīties learn. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-100","e86102e22bdbc867","e86102e22bdbc8677693dc30d93c6e70ba3e9f35c12ad0ab4cc28ae8578b2aa9","DISC-G2-A1-IS-L0023","g2/a1/is|lesen|idx:369|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","lesen|idx:369","lv","lasīt","lesen","","Lugema","Lugema","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""lesa""}","IS lesen lv: ET Lugema→lesa for lasīt read. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-100","e1170e12308f0583","e1170e12308f05833587c477075ed0016a1c13b70ab18fc3390ae29d637c0ea6","DISC-G2-A1-IS-L0024","g2/a1/is|letzte|idx:370|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","letzte|idx:370","lv","pēdējais","letzte","","Viimane","Viimane","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""síðasti""}","IS letzte lv: ET Viimane→síðasti for pēdējais last. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-164","a90dfeebf4c4c622","a90dfeebf4c4c622a2e53b329cc0cbc7f948cf535e3d48a0f81f6fd88b2c5e4d","DISC-G2-A1-IS-L0002","g2/a1/is|Licht|idx:372|lv|MISTRANSLATION|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Licht|idx:372","lv","gaisma","Licht","","Valgus","Valgus","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""ljós""}","IS Licht lv: ET Valgus→ljós for gaisma light. DE untouched.","SEMANTIC_MEANING_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-165","eb5a43f1530da946","eb5a43f1530da94689727bd285673bc2f78068735eb725d5dd12e4a416c49db4","DISC-G2-A1-IS-L0003","g2/a1/is|lieb|idx:373|lv|MISTRANSLATION|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","lieb|idx:373","lv","mīļš","lieb","","Callis","Callis","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""elskanlegur • kæra""}","IS lieb lv: garbage Callis→elskanlegur•kæra for mīļš dear. DE untouched.","SEMANTIC_MEANING_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-164","b5b912085e0dc21c","b5b912085e0dc21c714fafe30101b2eee3ee43e2d3e7ecfa4dc7c2f349baa1bc","DISC-G2-A1-IS-L0004","g2/a1/is|Liebe|idx:374|lv|MISTRANSLATION|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Liebe|idx:374","lv","mīlestība","Liebe","","Armastus","Armastus","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""ást""}","IS Liebe lv: ET Armastus→ást for mīlestība love (noun). DE untouched.","SEMANTIC_MEANING_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-163","26ef91c548b8553e","26ef91c548b8553ecab5cb9d1f4ef4efce04479008f343792c3776dcea4e10f7","DISC-G2-A1-IS-L0005","g2/a1/is|lieben|idx:375|lv|MISTRANSLATION|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","lieben|idx:375","lv","mīlēt","lieben","","Armastama","Armastama","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""elska""}","IS lieben lv: ET Armastama→elska for mīlēt love (verb). DE untouched.","SEMANTIC_MEANING_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-165","cd75d3d09c10a496","cd75d3d09c10a49626f619b8431b5828599b11cbc4d5ef013d4d675d240f8b01","DISC-G2-A1-IS-L0006","g2/a1/is|Lied|idx:376|lv|MISTRANSLATION|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Lied|idx:376","lv","dziesma","Lied","","Sang","Sang","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""lag""}","IS Lied lv: NO Sang→lag for dziesma song. DE untouched.","SEMANTIC_MEANING_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-164","71cb88cd946f4f37","71cb88cd946f4f3742861a3ae97ab7c3f04244a02268eea3e742dc7fde6464c7","DISC-G2-A1-IS-L0002","g2/a1/is|liegen|idx:377|lv, study|MISTRANSLATION|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","liegen|idx:377","lv, study","atrasties • gulēt","liegen","","{""lv"":""Asuma • Lamama"",""study.translation"":""Asuma • Lamama"",""study.explanation"":""[\""Põhiidee: liegen geindet asuma või horisontal lamama.\"",\""Inimese kohta jähä liegen säili lamamist.\"",\""Asja kohta gejnat liegen, et see asub kuskil.\"",\""Se sähät sänast legen, mis sähää magadi pikali panema.\""]"",""study.examples"":""[{\""de\"":\""Das Buch liegt auf dem Tisch.\"",\""lv\"":\""Raamat på laual.\""},{\""de\"":\""Mein Handy liegt im Auto.\"",\""lv\"":\""Telefonen min på biler.\""},{\""de\"":\""Er liegt im Bett.\"",\""lv\"":\""Ta lamab voodis.\""},{\""de\"":\""Ich lege das Buch auf den Tisch.\"",\""lv\"":\""Ma panen biibi lauale.\""}]"",""study.comparison"":""[{\""word\"":\""liegen\"",\""meaning\"":\""Asuma / lama\"",\""example\"":\""Bókin liggur hér.\""},{\""word\"":\""legen\"",\""meaning\"":\""Panem\"",\""example\"":\""Ég legg bókina hingað.\""},{\""word\"":\""stehen\"",\""meaning\"":\""Seisma\"",\""example\"":\""Flöskan stendur á borðinu.\""},{\""word\"":\""sein\"",\""meaning\"":\""Olema\"",\""example\"":\""Ég er hér.\""}]"",""study.tip"":""{\""text\"":\""Atceries: lieta jau ir vietā → liegen; tu to noliec → legen.\""}"",""study.important"":""[\""liegen sýnir stöðu eða staðsetningu.\"",\""legen sýnir athöfn: einhver setur eitthvað niður.\""]""}","{""lv"":""Asuma • Lamama"",""study.translation"":""Asuma • Lamama"",""study.explanation"":""[\""Põhiidee: liegen geindet asuma või horisontal lamama.\"",\""Inimese kohta jähä liegen säili lamamist.\"",\""Asja kohta gejnat liegen, et see asub kuskil.\"",\""Se sähät sänast legen, mis sähää magadi pikali panema.\""]"",""study.examples"":""[{\""de\"":\""Das Buch liegt auf dem Tisch.\"",\""lv\"":\""Raamat på laual.\""},{\""de\"":\""Mein Handy liegt im Auto.\"",\""lv\"":\""Telefonen min på biler.\""},{\""de\"":\""Er liegt im Bett.\"",\""lv\"":\""Ta lamab voodis.\""},{\""de\"":\""Ich lege das Buch auf den Tisch.\"",\""lv\"":\""Ma panen biibi lauale.\""}]"",""study.comparison"":""[{\""word\"":\""liegen\"",\""meaning\"":\""Asuma / lama\"",\""example\"":\""Bókin liggur hér.\""},{\""word\"":\""legen\"",\""meaning\"":\""Panem\"",\""example\"":\""Ég legg bókina hingað.\""},{\""word\"":\""stehen\"",\""meaning\"":\""Seisma\"",\""example\"":\""Flöskan stendur á borðinu.\""},{\""word\"":\""sein\"",\""meaning\"":\""Olema\"",\""example\"":\""Ég er hér.\""}]"",""study.tip"":""{\""text\"":\""Atceries: lieta jau ir vietā → liegen; tu to noliec → legen.\""}"",""study.important"":""[\""liegen sýnir stöðu eða staðsetningu.\"",\""legen sýnir athöfn: einhver setur eitthvað niður.\""]""}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","DECIDED","LABOT","{""lv"":""liggja • sofa"",""study.translation"":""liggja • sofa"",""study.explanation"":[""Meginhugsun: liegen þýðir að liggja eða sofa lárétt."",""Fyrir manneskju getur liegen þýtt að sofa."",""Fyrir hlut þýðir liegen að hann liggur einhvers staðar."",""Þetta er ekki sama og legen, sem þýðir að leggja eitthvað niður.""],""study.examples[0].lv"":""Bókin liggur á borðinu."",""study.examples[1].lv"":""Síminn minn er í bílnum."",""study.examples[2].lv"":""Hann liggur í rúminu."",""study.examples[3].lv"":""Ég legg bókina á borðið."",""study.comparison[0].meaning"":""liggja / sofa"",""study.comparison[0].example"":""Bókin liggur hér."",""study.comparison[1].meaning"":""leggja"",""study.comparison[1].example"":""Ég legg bókina hingað."",""study.comparison[2].meaning"":""standa"",""study.comparison[2].example"":""Flaskan stendur á borðinu."",""study.comparison[3].meaning"":""vera"",""study.comparison[3].example"":""Ég er hér."",""study.tip.text"":""Mundu: hlutur er þegar á stað → liegen; þú setur hann niður → legen."",""study.important[0]"":""liegen sýnir stöðu eða staðsetningu."",""study.important[1]"":""legen sýnir athöfn: einhver setur eitthvað niður.""}","IS liegen composite: ET Asuma•Lamama/NO→liggja•sofa throughout lv/study for atrasties•gulēt. DE untouched.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","INDIVIDUAL_LINGUISTIC"
